Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,LOG,Arena,Notes
Sat Apr 1 2023,7:30p,Dallas Mavericks,122,Miami Heat,129,Box Score,,20011,2:18,Kaseya Center,
Sat Apr 1 2023,8:30p,Los Angeles Clippers,114,New Orleans Pelicans,122,Box Score,,18399,2:13,Smoothie King Center,
Sun Apr 2 2023,1:00p,Toronto Raptors,128,Charlotte Hornets,108,Box Score,,16052,1:54,Spectrum Center,
Sun Apr 2 2023,3:30p,Utah Jazz,110,Brooklyn Nets,111,Box Score,,17732,2:18,Barclays Center,
Sun Apr 2 2023,3:30p,Memphis Grizzlies,107,Chicago Bulls,128,Box Score,,20944,2:07,United Center,
Sun Apr 2 2023,3:30p,Portland Trail Blazers,107,Minnesota Timberwolves,105,Box Score,,18978,2:17,Target Center,
Sun Apr 2 2023,6:00p,Dallas Mavericks,130,Atlanta Hawks,132,Box Score,OT,17678,2:40,State Farm Arena,
Sun Apr 2 2023,6:00p,Washington Wizards,109,New York Knicks,118,Box Score,,19812,2:02,Madison Square Garden (IV),
Sun Apr 2 2023,6:00p,Detroit Pistons,102,Orlando Magic,128,Box Score,,19431,2:42,Amway Center,
Sun Apr 2 2023,6:00p,San Antonio Spurs,142,Sacramento Kings,134,Box Score,OT,18183,2:29,Golden 1 Center,
Sun Apr 2 2023,7:00p,Los Angeles Lakers,134,Houston Rockets,109,Box Score,,18204,2:02,Toyota Center,
Sun Apr 2 2023,7:00p,Phoenix Suns,128,Oklahoma City Thunder,118,Box Score,,17981,2:23,Paycom Center,
Sun Apr 2 2023,8:00p,Indiana Pacers,105,Cleveland Cavaliers,115,Box Score,,19432,2:19,Rocket Mortgage Fieldhouse,
Sun Apr 2 2023,8:00p,Philadelphia 76ers,104,Milwaukee Bucks,117,Box Score,,17532,2:09,Fiserv Forum,
Sun Apr 2 2023,8:30p,Golden State Warriors,110,Denver Nuggets,112,Box Score,,19752,2:13,Ball Arena,
Tue Apr 4 2023,7:00p,Toronto Raptors,120,Charlotte Hornets,100,Box Score,,14965,2:09,Spectrum Center,
Tue Apr 4 2023,7:00p,Miami Heat,118,Detroit Pistons,105,Box Score,,18453,2:16,Little Caesars Arena,
Tue Apr 4 2023,7:00p,Cleveland Cavaliers,117,Orlando Magic,113,Box Score,,19449,2:13,Amway Center,
Tue Apr 4 2023,7:00p,Milwaukee Bucks,140,Washington Wizards,128,Box Score,,19098,2:10,Capital One Arena,
Tue Apr 4 2023,7:30p,Minnesota Timberwolves,107,Brooklyn Nets,102,Box Score,,17893,2:05,Barclays Center,
Tue Apr 4 2023,8:00p,Atlanta Hawks,123,Chicago Bulls,105,Box Score,,21717,2:08,United Center,
Tue Apr 4 2023,8:00p,Denver Nuggets,103,Houston Rockets,124,Box Score,,16924,2:05,Toyota Center,
Tue Apr 4 2023,8:00p,Portland Trail Blazers,109,Memphis Grizzlies,119,Box Score,,17558,1:58,FedEx Forum,
Tue Apr 4 2023,8:00p,Sacramento Kings,121,New Orleans Pelicans,103,Box Score,,15799,2:05,Smoothie King Center,
Tue Apr 4 2023,8:00p,Boston Celtics,101,Philadelphia 76ers,103,Box Score,,21104,2:19,Wells Fargo Center,
Tue Apr 4 2023,9:00p,Los Angeles Lakers,135,Utah Jazz,133,Box Score,OT,18206,2:31,Vivint Arena,
Tue Apr 4 2023,10:00p,Oklahoma City Thunder,125,Golden State Warriors,136,Box Score,,18064,2:17,Chase Center,
Tue Apr 4 2023,10:00p,San Antonio Spurs,94,Phoenix Suns,115,Box Score,,17071,2:01,Footprint Center,
Wed Apr 5 2023,7:00p,Brooklyn Nets,123,Detroit Pistons,108,Box Score,,18313,2:06,Little Caesars Arena,
Wed Apr 5 2023,7:00p,New York Knicks,138,Indiana Pacers,129,Box Score,,16789,2:15,Gainbridge Fieldhouse,
Wed Apr 5 2023,7:30p,Washington Wizards,116,Atlanta Hawks,134,Box Score,,17727,2:11,State Farm Arena,
Wed Apr 5 2023,7:30p,Toronto Raptors,93,Boston Celtics,97,Box Score,,19156,2:09,TD Garden,
Wed Apr 5 2023,7:30p,Chicago Bulls,92,Milwaukee Bucks,105,Box Score,,17679,2:06,Fiserv Forum,
Wed Apr 5 2023,8:00p,Memphis Grizzlies,131,New Orleans Pelicans,138,Box Score,OT,17232,2:38,Smoothie King Center,
Wed Apr 5 2023,8:30p,Sacramento Kings,119,Dallas Mavericks,123,Box Score,,20271,2:09,American Airlines Center,
Wed Apr 5 2023,10:00p,Los Angeles Lakers,118,Los Angeles Clippers,125,Box Score,,19068,2:16,Crypto.com Arena,
Thu Apr 6 2023,7:00p,Cleveland Cavaliers,118,Orlando Magic,94,Box Score,,19235,2:02,Amway Center,
Thu Apr 6 2023,7:30p,Miami Heat,129,Philadelphia 76ers,101,Box Score,,21178,2:08,Wells Fargo Center,
Thu Apr 6 2023,8:00p,Portland Trail Blazers,127,San Antonio Spurs,129,Box Score,,16023,2:16,Moody Center,
Thu Apr 6 2023,9:00p,Oklahoma City Thunder,114,Utah Jazz,98,Box Score,,18206,2:06,Vivint Arena,
Thu Apr 6 2023,10:00p,Denver Nuggets,115,Phoenix Suns,119,Box Score,,17071,2:11,Footprint Center,
Fri Apr 7 2023,7:00p,Houston Rockets,112,Charlotte Hornets,109,Box Score,,19102,2:16,Spectrum Center,
Fri Apr 7 2023,7:00p,Detroit Pistons,122,Indiana Pacers,115,Box Score,,17274,2:12,Gainbridge Fieldhouse,
Fri Apr 7 2023,7:00p,Miami Heat,108,Washington Wizards,114,Box Score,,20476,2:14,Capital One Arena,
Fri Apr 7 2023,7:30p,Philadelphia 76ers,136,Atlanta Hawks,131,Box Score,OT,17627,2:34,State Farm Arena,
Fri Apr 7 2023,7:30p,Toronto Raptors,102,Boston Celtics,121,Box Score,,19156,2:02,TD Garden,
Fri Apr 7 2023,7:30p,Orlando Magic,84,Brooklyn Nets,101,Box Score,,18177,2:01,Barclays Center,
